"filename", "language", "TypeScript JSX", "JavaScript JSX", "comment", "blank", "total"
"f:\学习\大三下\项目实训\sapphire-client\src\api\getHeat.jsx", "JavaScript JSX", 0, 30, 1, 3, 34
"f:\学习\大三下\项目实训\sapphire-client\src\components\DataSet.tsx", "TypeScript JSX", 11, 0, 0, 0, 11
"f:\学习\大三下\项目实训\sapphire-client\src\components\DayHeatMap.tsx", "TypeScript JSX", -7, 0, 18, 0, 11
"f:\学习\大三下\项目实训\sapphire-client\src\components\MyDataSet.tsx", "TypeScript JSX", -2, 0, 0, 0, -2
"f:\学习\大三下\项目实训\sapphire-client\src\constants\url.jsx", "JavaScript JSX", 0, 3, 0, 0, 3
"f:\学习\大三下\项目实训\sapphire-client\src\pages\consoleboard\ConsoleBoard.tsx", "TypeScript JSX", 14, 0, 0, 0, 14
"f:\学习\大三下\项目实训\sapphire-client\src\pages\consoleboard\OngoingTaskPanal.tsx", "TypeScript JSX", 17, 0, 0, 1, 18
"f:\学习\大三下\项目实训\sapphire-client\src\pages\dataset\CreateDataset.tsx", "TypeScript JSX", 11, 0, 0, -1, 10
"f:\学习\大三下\项目实训\sapphire-client\src\pages\dataset\DatasetDetail.tsx", "TypeScript JSX", 11, 0, 0, 1, 12
"f:\学习\大三下\项目实训\sapphire-client\src\pages\dataset\ProgressTab.tsx", "TypeScript JSX", 6, 0, 0, 0, 6
"f:\学习\大三下\项目实训\sapphire-client\src\pages\datasets\Datasets.tsx", "TypeScript JSX", 53, 0, 0, 4, 57
"f:\学习\大三下\项目实训\sapphire-client\src\pages\workdesk\WorkDesk.tsx", "TypeScript JSX", 19, 0, 2, 5, 26
"f:\学习\大三下\项目实训\sapphire-client\src\pages\workshop\DetailList.tsx", "TypeScript JSX", 6, 0, 0, 0, 6
"Total", "-", 139, 33, 21, 13, 206